2823;;;;;;;;;;;;;;;;2572;
2824;;;;;;;;;;;;;;;;2573;
2825;;;;;;;;;;;;;;;;2574;
2826;;;;;;;;;;;;;;;;2575;
2827;;;;;;;;;;;;;;;;2576;
2828;;;;;;;;;;;;;;;;2577;
2829;;;;;;;;;;;;;;;;2578;
2830;identity;fid-coap-option-oscore-flags;;;;;;;;;;;;;;2579;
2831;identity;fid-coap-option-oscore-kid;;;;;;;;;;;;;;2580;
2832;identity;fid-coap-option-oscore-kidctx;;;;;;;;;;;;;;2581;
2833;identity;fid-coap-option-oscore-piv;RFC8824bis;;;;;;;;;;;;;2582;identity
2834;;;;;;;;;;;;;;;;2583;identity
2835;;;;;;;;;;;;;;;;2584;identity
2836;;;;;;;;;;;;;;;;2585;identity
2837;;;;;;;;;;;;;;;;2586;identity
2838;;;;;;;;;;;;;;;;2587;identity
2839;;;;;;;;;;;;;;;;2588;identity
2840;identity;fid-coap-version;;;;;;;;;;;;;;2589;identity
2841;identity;fid-coap-type;;;;;;;;;;;;;;2590;identity
2842;identity;fid-coap-tkl;;;;;;;;;;;;;;2591;identity
2843;identity;fid-coap-code;;;;;;;;;;;;;;2592;identity
2844;identity;fid-coap-code-class;;;;;;;;;;;;;;2593;identity
2845;identity;fid-coap-code-detail;;;;;;;;;;;;;;2594;identity
2846;identity;fid-coap-mid;;;;;;;;;;;;;;2595;
2847;identity;fid-coap-token;;;;;;;;;;;;;;2596;
2848;;;;;;;;;;;;;;;;2597;
2849;;;;;;;;;;;;;;;;2598;
2850;identity;fid-udp-dev-port;;;;;;;;;;;;;;2599;identity
2851;identity;fid-udp-app-port;;;;;;;;;;;;;;2600;identity
2852;identity;fid-udp-length;;;;;;;;;;;;;;2601;identity
2853;identity;fid-udp-checksum;;;;;;;;;;;;;;2602;identity
2854;;;;;;;;;;;;;;;;2603;identity
2855;;;;;;;;;;;;;;;;2604;identity
2856;;;;;;;;;;;;;;;;2605;identity
2857;;;;;;;;;;;;;;;;2606;identity
2858;;;;;;;;;;;;;;;;2607;
